Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,112.370003,113.389999,111.510002,113.33000200000001,97.31437700000001,118944600
2010-01-05,113.260002,113.68,112.849998,113.629997,97.571968,111579900
2010-01-06,113.519997,113.989998,113.43,113.709999,97.640663,116074400
2010-01-07,113.5,114.33000200000001,113.18,114.190002,98.052856,131091100
2010-01-08,113.889999,114.620003,113.660004,114.57,98.379143,126402800
2010-01-11,115.08000200000001,115.129997,114.239998,114.730003,98.516518,106375700
2010-01-12,113.970001,114.209999,113.220001,113.660004,97.59774,163333500
2010-01-13,113.949997,114.940002,113.370003,114.620003,98.422066,161822000
2010-01-14,114.489998,115.139999,114.41999799999999,114.93,98.688271,115718800
2010-01-15,114.730003,114.839996,113.199997,113.639999,97.580559,212283100
2010-01-19,113.620003,115.129997,113.589996,115.059998,98.79988900000001,139172700
2010-01-20,114.279999,114.449997,112.980003,113.889999,97.79521899999999,216490200
2010-01-21,113.91999799999999,114.269997,111.559998,111.699997,95.914703,344859600
2010-01-22,111.199997,111.739998,109.089996,109.209999,93.776627,345942400
2010-01-25,110.209999,110.410004,109.410004,109.769997,94.257446,186937500
2010-01-26,109.339996,110.470001,109.040001,109.309998,93.86245699999999,211168800
2010-01-27,109.16999799999999,110.08000200000001,108.33000200000001,109.83000200000001,94.308998,271863600
2010-01-28,110.190002,110.25,107.910004,108.57,93.22706600000001,316104000
2010-01-29,109.040001,109.800003,107.220001,107.389999,92.213799,310677600
2010-02-01,108.150002,109.07,107.5,109.059998,93.647797,187865000
2010-02-02,109.260002,110.589996,108.879997,110.379997,94.781273,216327900
2010-02-03,109.879997,110.480003,109.510002,109.83000200000001,94.308998,172730700
2010-02-04,108.980003,109.029999,106.41999799999999,106.440002,91.398048,356715700
2010-02-05,106.559998,106.879997,104.58000200000001,106.660004,91.58695999999999,493585800
2010-02-08,106.739998,107.33000200000001,105.809998,105.889999,90.925804,224166900
2010-02-09,107.129997,108.150002,106.269997,107.220001,92.067802,337820500
2010-02-10,107.050003,107.599998,106.110001,107.010002,91.887505,240511500
2010-02-11,106.870003,108.25,106.25,108.129997,92.849228,223591600
2010-02-12,106.989998,108.099998,106.510002,108.040001,92.771935,304622100
2010-02-16,108.860001,109.849998,107.82,109.739998,94.231705,159317500
2010-02-17,110.269997,110.410004,109.739998,110.260002,94.6782,168845100
2010-02-18,110.08000200000001,111.139999,110.040001,110.910004,95.236366,193708600
2010-02-19,110.620003,111.57,110.360001,111.139999,95.433846,222684900
2010-02-22,111.550003,111.58000200000001,110.83000200000001,111.160004,95.451027,132346900
2010-02-23,110.860001,111.199997,109.519997,109.809998,94.291801,207497000
2010-02-24,110.139999,111.0,109.860001,110.82,95.15909599999999,176350700
2010-02-25,109.239998,110.75,108.940002,110.66999799999999,95.030289,259634700
2010-02-26,110.769997,111.120003,110.110001,110.739998,95.090378,173589300
2010-03-01,111.199997,112.0,111.16999799999999,111.889999,96.07785799999999,147709700
2010-03-02,112.370003,112.739998,112.0,112.199997,96.344063,160992400
2010-03-03,112.489998,112.970001,112.019997,112.300003,96.429916,150785000
2010-03-04,112.449997,112.800003,112.029999,112.639999,96.721886,135770400
2010-03-05,113.370003,114.339996,113.099998,114.25,98.10434000000001,176118800
2010-03-08,114.260002,114.519997,114.07,114.269997,98.12150600000001,114631200
2010-03-09,113.93,114.989998,113.870003,114.459999,98.284676,154556700
2010-03-10,114.510002,115.279999,114.410004,114.970001,98.722595,186088800
2010-03-11,114.699997,115.480003,114.349998,115.449997,99.134773,160791100
2010-03-12,115.949997,115.970001,115.139999,115.459999,99.143387,162074800
2010-03-15,115.260002,115.57,114.599998,115.489998,99.169106,146816800
2010-03-16,115.809998,116.519997,115.489998,116.410004,99.959106,168673000
2010-03-17,116.760002,117.480003,116.41999799999999,117.099998,100.55160500000001,177468100
2010-03-18,117.110001,117.269997,116.57,117.040001,100.500076,196509100
2010-03-19,115.970001,117.290001,115.519997,115.970001,99.991364,226641100
2010-03-22,115.309998,116.800003,115.239998,116.589996,100.525932,184477800
2010-03-23,116.760002,117.510002,116.379997,117.410004,101.23297099999999,182941600
2010-03-24,116.970001,117.43,115.58000200000001,116.839996,100.741493,196072600
2010-03-25,117.629997,118.16999799999999,116.510002,116.650002,100.57766,223396300
2010-03-26,116.870003,117.41999799999999,116.120003,116.58000200000001,100.51733399999999,205808500
2010-03-29,117.16999799999999,117.529999,116.690002,117.32,101.15538000000001,134513500
2010-03-30,117.459999,117.83000200000001,116.910004,117.400002,101.22434200000001,145772500
2010-03-31,116.949997,117.519997,116.610001,117.0,100.87944,161078700
2010-04-01,117.800003,118.25,117.099998,117.800003,101.569237,161215200
2010-04-05,118.25,118.839996,117.91999799999999,118.760002,102.39695,105847600
2010-04-06,118.41999799999999,119.25,118.290001,119.040001,102.638382,110384200
2010-04-07,118.800003,119.360001,117.809998,118.360001,102.05207800000001,184576300
2010-04-08,117.949997,118.970001,117.599998,118.769997,102.405594,158704000
2010-04-09,119.019997,119.599998,118.800003,119.550003,103.078125,133006500
2010-04-12,119.699997,120.050003,119.559998,119.739998,103.241936,110279000
2010-04-13,119.620003,120.040001,119.0,119.83000200000001,103.319519,125043600
2010-04-14,120.269997,121.190002,120.08000200000001,121.190002,104.492165,161609000
2010-04-15,120.989998,121.57,120.949997,121.290001,104.578384,144615300
2010-04-16,120.860001,121.290001,118.75,119.360001,102.914284,366786700
2010-04-19,119.010002,119.93,118.470001,119.809998,103.302261,217947800
2010-04-20,120.559998,120.980003,119.870003,120.879997,104.224861,157708000
2010-04-21,120.949997,121.230003,119.989998,120.660004,104.035156,192910100
2010-04-22,119.809998,121.16999799999999,119.120003,121.019997,104.345566,115360300
2010-04-23,120.940002,121.860001,120.629997,121.809998,105.02671799999999,177335500
2010-04-26,121.849998,122.120003,121.230003,121.349998,104.630096,143457300
2010-04-27,120.650002,121.339996,118.25,118.480003,102.155548,355853300
2010-04-28,119.050003,119.68,118.269997,119.379997,102.931526,300674100
2010-04-29,120.099998,121.110001,120.07,120.860001,104.207603,193775000
2010-04-30,120.879997,121.010002,118.779999,118.809998,102.440071,270000900
2010-05-03,119.379997,120.68,119.199997,120.349998,103.767876,182747900
2010-05-04,119.010002,119.029999,116.91999799999999,117.519997,101.327789,360353400
